title,link,date,image_url
تعزية,https://www.univ-djelfa.dz/ar/?p=23451,2025-04-08,https://www.univ-djelfa.dz/ar/wp-content/uploads/j84aq1t6.jpg
النتائج النهائية لمسابقة التوظيف الخارجي 2024 للرتب مهندس دولة في الاعلام الالي و مهندس دولة للمخابر الجامعية و تقني سام في الإعلام الالي,https://www.univ-djelfa.dz/ar/?p=23381,2025-03-05,https://www.univ-djelfa.dz/ar/wp-content/uploads/steptodown.com354256-1024x641.jpg
تجديد تشكيلة لجنة الطعن المختصة إزاء أسلاك الأساتذة الباحثين والاستشفائيين الجامعيين والأساتذة الباحثين والباحثين الدائمين,https://www.univ-djelfa.dz/ar/?p=23356,2025-03-05,https://www.univ-djelfa.dz/ar/wp-content/uploads/steptodown.com893408-1024x683.jpg
فتح دورة تكوينية قبل الترقية,https://www.univ-djelfa.dz/ar/?p=23260,2025-02-27,https://www.univ-djelfa.dz/ar/wp-content/uploads/steptodown.com188868-1024x542.jpg
إعلان عن فتح دورة للامتحانات المهنية,https://www.univ-djelfa.dz/ar/?p=23233,2025-02-27,https://www.univ-djelfa.dz/ar/wp-content/uploads/steptodown.com564406-1024x683.jpg
النتائج النهائية لمسابقة الدكتوراه 2024-2025 لشعب : الجغرافيا وتهيئة الاقليم ، الجيولوجيا ، العلوم الفلاحية و الرياضيات,https://www.univ-djelfa.dz/ar/?p=23217,2025-02-25,https://www.univ-djelfa.dz/ar/wp-content/uploads/steptodown.com928798-1024x683.jpg
النتائج النهائية لمسابقة الدكتوراه 2025/2024 : هندسة مدنية ،هندسة ميكانيكية ، ري,https://www.univ-djelfa.dz/ar/?p=23143,2025-02-23,https://www.univ-djelfa.dz/ar/wp-content/uploads/steptodown.com186230-1024x683.jpg
النتائج النهائية لمسابقة الدكتوراه 2025/2024 إلكترونيك ، اتصالات ، إعلام آلي,https://www.univ-djelfa.dz/ar/?p=23092,2025-02-21,https://www.univ-djelfa.dz/ar/wp-content/uploads/steptodown.com928798-1024x683.jpg
النتائج النهائية لمسابقة الدكتوراه 2024-2025 – شعبة الحقوق,https://www.univ-djelfa.dz/ar/?p=22946,2025-02-18,https://www.univ-djelfa.dz/ar/wp-content/uploads/steptodown.com439979-1-1024x637.jpg
قوائم النتائج النهائية لمسابقة الدكتوراه 2025/2024 لشعبة : الطاقات المتجددة,https://www.univ-djelfa.dz/ar/?p=22848,2025-02-16,https://www.univ-djelfa.dz/ar/wp-content/uploads/steptodown.com439979-1-1024x637.jpg
النتائج النهائية لمسابقة الدكتوراه بعنوان السنة الجامعية2024-2025 لشعب العلوم الاقتصادية ، التجارية واﻷشغال العمومية,https://www.univ-djelfa.dz/ar/?p=22465,2025-02-14,https://www.univ-djelfa.dz/ar/wp-content/uploads/Preparer-un-doctorat-shutterstock_448525174-1024x371.png
قوائم النتائج النهائية لمسابقة الدكتوراه  2025/2024 لشعبتي : الكتروتقني – الكتروميكانيك,https://www.univ-djelfa.dz/ar/?p=22348,2025-02-09,https://www.univ-djelfa.dz/ar/wp-content/uploads/steptodown.com439979-1-1024x637.jpg
